tipo_pasajero,origen,destino,tipo_pasajero_visual,tipo_tarifa_venta,factor_venta,paga_tarifa,aplica_subsidio_normal,aplica_subsidio_estudiante,tarifa_venta_base,tarifa_estudiante_sin_subsidio,falta_tarifa_venta,falta_tarifa_estudiante_sin_subsidio
estudiante,Temuco,Cajon,Estudiante,estudiante,1.0,1,0,1,200.0,650.0,False,False
estudiante,Temuco,Freire,Estudiante,estudiante,1.0,1,0,1,450.0,1450.0,False,False
estudiante,Temuco,L. Centro,Estudiante,estudiante,1.0,1,0,1,450.0,1350.0,False,False
estudiante,Temuco,Lautaro,Estudiante,estudiante,1.0,1,0,1,450.0,1350.0,False,False
estudiante,Temuco,PLC,Estudiante,estudiante,1.0,1,0,1,250.0,750.0,False,False
estudiante,Temuco,PUA,Estudiante,estudiante,1.0,1,0,1,500.0,1600.0,False,False
estudiante,Temuco,Perquenco,Estudiante,estudiante,1.0,1,0,1,450.0,1500.0,False,False
estudiante,Temuco,Pillanlelbun,Estudiante,estudiante,1.0,1,0,1,400.0,1300.0,False,False
estudiante,Temuco,Pitrufquén,Estudiante,estudiante,1.0,1,0,1,500.0,1550.0,False,False
estudiante,Temuco,Quepe,Estudiante,estudiante,1.0,1,0,1,250.0,900.0,False,False
estudiante,Temuco,Quillem,Estudiante,estudiante,1.0,1,0,1,450.0,1500.0,False,False
estudiante,Temuco,Victoria,Estudiante,estudiante,1.0,1,0,1,600.0,1950.0,False,False
estudiante,Victoria,Cajon,Estudiante,estudiante,1.0,1,0,1,300.0,950.0,False,False
estudiante,Victoria,L. Centro,Estudiante,estudiante,1.0,1,0,1,450.0,1500.0,False,False
estudiante,Victoria,Lautaro,Estudiante,estudiante,1.0,1,0,1,450.0,1500.0,False,False
estudiante,Victoria,PUA,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,Victoria,Perquenco,Estudiante,estudiante,1.0,1,0,1,450.0,1400.0,False,False
estudiante,Victoria,Pillanlelbun,Estudiante,estudiante,1.0,1,0,1,500.0,1600.0,False,False
estudiante,Victoria,Temuco,Estudiante,estudiante,1.0,1,0,1,600.0,1950.0,False,False
estudiante_basica,Cajon,L. Centro,Estudiante Básica,sin_pago,0.0,0,0,0,,650.0,False,False
estudiante_basica,Cajon,Lautaro,Estudiante Básica,sin_pago,0.0,0,0,0,,650.0,False,False
estudiante_basica,Cajon,Perquenco,Estudiante Básica,sin_pago,0.0,0,0,0,,900.0,False,False
estudiante_basica,Cajon,Pillanlelbun,Estudiante Básica,sin_pago,0.0,0,0,0,,650.0,False,False
estudiante_basica,Cajon,Temuco,Estudiante Básica,sin_pago,0.0,0,0,0,,650.0,False,False
