alpha,beta,funcion,lambda,train_MAE,train_RMSE,train_MAPE_pct,train_Correlacion,train_Desviacion_abs_total,train_Desviacion_pct_total,train_CPC,train_R2,valid_MAE,valid_RMSE,valid_MAPE_pct,valid_Correlacion,valid_Desviacion_abs_total,valid_Desviacion_pct_total,valid_CPC,valid_R2,score
0.5,0.5,potencial,0.1,20905.45998585934,50781.20464650751,86.16710277883423,0.9310466200369206,0.0,0.0,0.7984494962489839,0.8633566981992039,699.9490951234663,1666.3900977751448,89.1886147605984,0.9510015560971493,0.0,0.0,0.8049064934878627,0.8983924702681729,1313.6838479582157
0.75,0.25,exponencial,0.2,21107.95029249777,51577.09236498861,84.16614361087109,0.9288030925534808,3.725290298461914e-09,-1.1493022577361418e-14,0.7964972778651128,0.8590399451532665,707.9920592276936,1702.453078759579,86.84858609885153,0.9488035337953172,0.0,0.0,0.8026647160775094,0.8939470281698723,1342.957238907878
0.25,0.75,potencial,0.1,21254.369478647837,51983.84277659409,86.06109540501727,0.9274645693302971,3.725290298461914e-09,1.1493022577361418e-14,0.7950856437395148,0.856807882844754,712.3886104728701,1708.027027825116,88.97610472951342,0.9483607915048462,0.0,0.0,0.8014392861070193,0.8932514418101857,1347.638033300133
0.75,0.25,potencial,0.2,21198.141140116244,51769.02368709947,84.72158858963095,0.9282445600075504,3.725290298461914e-09,-1.1493022577361418e-14,0.7956277437441929,0.8579888976039034,711.3340857406251,1709.2656019624326,87.46067476328207,0.9483899879867589,0.0,0.0,0.8017332088067568,0.8930965684511953,1348.5652937158522
0.5,0.5,exponencial,0.2,21369.786936263492,52501.82013710099,83.473058199208,0.9259952614844967,3.725290298461914e-09,-1.1493022577361418e-14,0.7939728987083208,0.8539400764417627,717.5119030759467,1735.6041521581799,85.99380086383373,0.9466204041001901,0.0,0.0,0.8000112949491114,0.8897765751107596,1370.0258920518204
0.25,0.75,exponencial,0.2,21637.30395033947,53440.755992186445,82.80614216406812,0.9230752010211756,3.725290298461914e-09,-1.1493022577361418e-14,0.7913937548394246,0.8486691275857544,727.1364014807801,1769.2851560517163,85.16463529526335,0.9443404959446435,0.0,0.0,0.7973287039502786,0.8854570910607708,1397.5765718861958
0.5,0.5,potencial,0.2,21708.351341201775,53489.21081649521,84.40502623483528,0.9229439150036134,0.0,0.0,0.7907087836678656,0.848394579256869,729.6289510737497,1770.581733611667,86.97116409793321,0.9443002182183284,0.0,0.0,0.7966339673706676,0.885289149582007,1398.7161813922526
0.75,0.25,exponencial,0.35,21902.432906037408,54339.626284854596,81.45448151569765,0.9203835971134179,3.725290298461914e-09,-1.1493022577361418e-14,0.7888376343514735,0.8435355622186085,737.675015544461,1812.9354736722582,83.58389410418077,0.9414721007460078,0.0,0.0,0.7943913258098025,0.8797355597447007,1433.2315692616792
0.75,0.25,potencial,0.35,22065.30259612391,54710.42352539968,82.43209850684579,0.9192192694651937,3.725290298461914e-09,-1.1493022577361418e-14,0.7872674001588315,0.841392944405737,743.8121197062763,1826.6404990988995,84.66748786408111,0.9405474592212124,0.0,0.0,0.7926807597427836,0.877910390359514,1444.5677927106149
0.25,0.75,potencial,0.2,22449.894234705,56080.81172442685,84.32594721060134,0.9145296097146977,0.0,0.0,0.7835595344363416,0.8333478459388686,755.952269611536,1862.2127925754828,86.68270972281825,0.9378297138711569,4.656612873077393e-10,-1.3844434348460384e-14,0.7892969930787489,0.8731089029925306,1473.9400029823614
