tipo_pasajero,origen,destino,matriz_tarifaria_aplicada,tarifa,tiene_tarifa
normal,Valle Chanco,Gomero,Matriz Tarifaria Adulto,1250.0,True
normal,Valle Chanco,Buenuraqui,Matriz Tarifaria Adulto,1250.0,True
normal,Valle Chanco,San Rosendo,Matriz Tarifaria Adulto,1250.0,True
normal,Valle Chanco,Laja,Matriz Tarifaria Adulto,1250.0,True
normal,Los Acacios,Mercado,Matriz Tarifaria Adulto,1360.0,True
normal,Los Acacios,El Arenal,Matriz Tarifaria Adulto,1360.0,True
normal,Los Acacios,Higueras,Matriz Tarifaria Adulto,1360.0,True
normal,Los Acacios,Los Cóndores,Matriz Tarifaria Adulto,1360.0,True
normal,Los Acacios,UTFSM,Matriz Tarifaria Adulto,1360.0,True
normal,Los Acacios,Lorenzo Arenas,Matriz Tarifaria Adulto,1360.0,True
normal,Los Acacios,Concepción,Matriz Tarifaria Adulto,1360.0,True
normal,Los Acacios,Chiguayante,Matriz Tarifaria Adulto,1360.0,True
normal,Los Acacios,Pedro Medina,Matriz Tarifaria Adulto,1250.0,True
normal,Los Acacios,Manquimávida,Matriz Tarifaria Adulto,1250.0,True
normal,Los Acacios,La Leonera,Matriz Tarifaria Adulto,1250.0,True
normal,Los Acacios,Hualqui,Matriz Tarifaria Adulto,1250.0,True
