periodo,mes,tipo_pasajero,origen,destino,viajes_proyectados
2027-01,1,Normal,El Arenal,Manquimávida,213.02617712892456
2027-01,1,Normal,El Arenal,Pedro Medina,149.47918634825638
2027-01,1,Normal,El Arenal,Chiguayante,225.57362757303085
2027-01,1,Normal,El Arenal,Concepción,1948.80108903982
2027-01,1,Normal,El Arenal,Lorenzo Arenas,202.55150737331277
2027-01,1,Normal,El Arenal,UTFSM,150.347326243312
2027-01,1,Normal,El Arenal,Los Cóndores,101.49269120198123
2027-01,1,Normal,El Arenal,Higueras,85.87061597227604
2027-01,1,Normal,El Arenal,El Arenal,42.365338153076806
2027-01,1,Normal,El Arenal,Mercado,43.65075690382031
2027-01,1,Normal,El Arenal,Juan Pablo II,238.9318914218572
2027-01,1,Normal,El Arenal,Diagonal Biobío,135.27756033964366
2027-01,1,Normal,El Arenal,Alborada,85.42864266056704
2027-01,1,Normal,El Arenal,Costa Mar,271.09280392856135
2027-01,1,Normal,El Arenal,El Parque,136.22646832480578
2027-01,1,Normal,El Arenal,Lomas Coloradas,241.78298166628196
2027-01,1,Normal,El Arenal,C. Raúl Silva H.,153.60525552720983
2027-01,1,Normal,El Arenal,Hito Galvarino,153.83983140844694
2027-01,1,Normal,El Arenal,Los Canelos,254.51298184091237
2027-01,1,Normal,El Arenal,Huinca,110.20313188931948
2027-01,1,Normal,El Arenal,Cristo Redentor,146.16927392031894
2027-01,1,Normal,El Arenal,Laguna Quiñenco,196.67584115677815
2027-01,1,Normal,El Arenal,Intermodal Coronel,345.8501856102919
2027-01,1,Normal,El Arenal,Pasajero Lota,0.0
2027-01,1,Normal,El Arenal,Concepción Centro,0.0
2027-01,1,Normal,Mercado,Hualqui,694.9629462226937
2027-01,1,Normal,Mercado,La Leonera,460.22213075799306
2027-01,1,Normal,Mercado,Manquimávida,420.22305824054894
2027-01,1,Normal,Mercado,Pedro Medina,352.00477883666116
2027-01,1,Normal,Mercado,Chiguayante,635.2709548286088
2027-01,1,Normal,Mercado,Concepción,2447.747886781117
2027-01,1,Normal,Mercado,Lorenzo Arenas,313.1354627197041
2027-01,1,Normal,Mercado,UTFSM,275.1781812400438
2027-01,1,Normal,Mercado,Los Cóndores,225.57971456130733
2027-01,1,Normal,Mercado,Higueras,265.0888964159097
2027-01,1,Normal,Mercado,El Arenal,60.39295045754479
2027-01,1,Normal,Mercado,Mercado,72.13100272498832
2027-01,1,Normal,Mercado,Juan Pablo II,324.4181461859138
2027-01,1,Normal,Mercado,Diagonal Biobío,238.07998645522437
2027-01,1,Normal,Mercado,Alborada,96.12963972299565
2027-01,1,Normal,Mercado,Costa Mar,443.0567766523447
2027-01,1,Normal,Mercado,El Parque,239.91245978044458
2027-01,1,Normal,Mercado,Lomas Coloradas,470.71436494885745
